Date,PortfolioValue,DailyReturn,CumulativeValue,RunningMax,Drawdown
2024-05-02,8379600.0,-0.028407114532847944,8379600.0,14666900.0,-0.42867272566118264
2024-05-07,8242900.0,-0.016313427848584694,8242900.0,14666900.0,-0.4379930319290375
2024-05-08,8663900.0,0.051074257846146276,8663900.0,14666900.0,-0.40928894313045017
2024-05-09,8611400.0,-0.006059626726993672,8611400.0,14666900.0,-0.41286843163858755
2024-05-10,8666600.0,0.006410107531876319,8666600.0,14666900.0,-0.4091048551500317
2024-05-13,8665000.0,-0.00018461680474468611,8665000.0,14666900.0,-0.409213944323613
2024-05-14,8529800.0,-0.01560300057703401,8529800.0,14666900.0,-0.41843197949123534
2024-05-15,8684200.0,0.018101245046777237,8684200.0,14666900.0,-0.40790487424063704
2024-05-16,8873100.0,0.021752147578360637,8873100.0,14666900.0,-0.3950255336846914
2024-05-17,8957500.0,0.009511895504389578,8957500.0,14666900.0,-0.38927107977827624
2024-05-20,9066200.0,0.012135082333240232,9066200.0,14666900.0,-0.38185983404809465
2024-05-21,9112000.0,0.005051730603781168,9112000.0,14666900.0,-0.37873715645432915
2024-05-22,8989300.0,-0.013465759438103575,8989300.0,14666900.0,-0.38710293245334737
2024-05-23,8957700.0,-0.0035152904008098895,8957700.0,14666900.0,-0.38925744363157855
2024-05-24,8959300.0,0.0001786172789890461,8959300.0,14666900.0,-0.3891483544579972
2024-05-27,8995700.0,0.004062817407610053,8995700.0,14666900.0,-0.38666657575902197
2024-05-28,8996200.0,5.5582111453178484e-05,8996200.0,14666900.0,-0.3866324853922779
2024-05-29,8981700.0,-0.0016117916453614045,8981700.0,14666900.0,-0.3876211060278586
2024-05-30,8971600.0,-0.0011245087232929496,8971600.0,14666900.0,-0.3883097314360908
2024-05-31,9081900.0,0.012294351063355524,9081900.0,14666900.0,-0.3807893965323279
2024-06-03,9182500.0,0.011076977284488976,9182500.0,14666900.0,-0.37393041474340183
2024-06-04,9108000.0,-0.008113258916417121,9108000.0,14666900.0,-0.37900987938828246
2024-06-05,9024000.0,-0.00922266139657446,9024000.0,14666900.0,-0.3847370610013022
2024-06-06,8739200.0,-0.03156028368794328,8739200.0,14666900.0,-0.4041549338987789
2024-06-07,8986600.0,0.028309227389234692,8986600.0,14666900.0,-0.38728702043376584
2024-06-10,9039500.0,0.005886542185031152,9039500.0,14666900.0,-0.3836802596322332
2024-06-11,8756800.0,-0.03127385364234747,8756800.0,14666900.0,-0.4029549529893842
2024-06-12,9070400.0,0.03581216882879601,9070400.0,14666900.0,-0.38157347496744365
2024-06-13,8651100.0,-0.04622728876345039,8651100.0,14666900.0,-0.41016165651910086
2024-06-14,9084100.0,0.050051438545387184,9084100.0,14666900.0,-0.3806393989186536
2024-06-17,9042900.0,-0.0045353970123622744,9042900.0,14666900.0,-0.38344844513837284
2024-06-18,9055500.0,0.001393358325316063,9055500.0,14666900.0,-0.38258936789641984
2024-06-19,9160700.0,0.011617249185577716,9160700.0,14666900.0,-0.3754167547334474
2024-06-20,8829100.0,-0.03619810713155103,8829100.0,14666900.0,-0.3980254859581779
2024-06-21,8845000.0,0.001800863055124502,8845000.0,14666900.0,-0.39694141229571345
2024-06-24,9214500.0,0.04177501413227813,9214500.0,14666900.0,-0.37174863127177527
2024-06-25,9348300.0,0.014520592544359445,9348300.0,14666900.0,-0.3626260491310366
2024-06-26,9319400.0,-0.003091471176577598,9319400.0,14666900.0,-0.3645964723288493
2024-06-27,9012900.0,-0.03288838337232014,9012900.0,14666900.0,-0.3854938671430227
2024-06-28,9296700.0,0.03148820024631371,9296700.0,14666900.0,-0.3661441749790344
2024-07-01,9333500.0,0.003958393838674024,9333500.0,14666900.0,-0.36363512398666387
2024-07-02,9345500.0,0.0012856913269405634,9345500.0,14666900.0,-0.36281695518480384
2024-07-03,9010500.0,-0.035846129153068285,9010500.0,14666900.0,-0.3856575009033947
2024-07-04,9544400.0,0.059253093613007124,9544400.0,14666900.0,-0.3492558072939749
2024-07-05,9167500.0,-0.039489124512803286,9167500.0,14666900.0,-0.3749531257457268
2024-07-08,9107200.0,-0.006577583856013036,9107200.0,14666900.0,-0.3790644239750731
2024-07-09,9101400.0,-0.0006368587491215605,9101400.0,14666900.0,-0.37945987222930544
2024-07-10,9091200.0,-0.0011207067044630703,9091200.0,14666900.0,-0.38015531571088645
2024-07-11,9105600.0,0.0015839493136220462,9105600.0,14666900.0,-0.37917351314865444
2024-07-12,9116500.0,0.001197065542084097,9116500.0,14666900.0,-0.37843034315363167
2024-07-16,9187800.0,0.007820983930236336,9187800.0,14666900.0,-0.3735690568559137
2024-07-17,9247900.0,0.006541283005724985,9247900.0,14666900.0,-0.36947139477326496
2024-07-18,9435900.0,0.0203289395430315,9435900.0,14666900.0,-0.3566534168774588
2024-07-19,8904000.0,-0.056369821638635464,8904000.0,14666900.0,-0.392918749019902
2024-07-22,9110600.0,0.023203054806828494,9110600.0,14666900.0,-0.3788326094812128
2024-07-23,9186800.0,0.008363883827629426,9186800.0,14666900.0,-0.37363723758940204
2024-07-24,8850100.0,-0.03665041145992076,8850100.0,14666900.0,-0.396593690554923
2024-07-25,9010600.0,0.018135388300697164,9010600.0,14666900.0,-0.3856506828300459
2024-07-26,9014200.0,0.00039952944310028826,9014200.0,14666900.0,-0.38540523218948786
2024-07-29,8843600.0,-0.018925695014532673,8843600.0,14666900.0,-0.3970368653225972
2024-07-30,8906000.0,0.007055950065584238,8906000.0,14666900.0,-0.39278238755292527
2024-07-31,9174700.0,0.030170671457444342,9174700.0,14666900.0,-0.37446222446461075
2024-08-01,8694300.0,-0.05236138511340971,8694300.0,14666900.0,-0.4072162488324049
2024-08-02,8418300.0,-0.03174493633760045,8418300.0,14666900.0,-0.4260341312751843
2024-08-05,7333600.0,-0.1288502429231555,7333600.0,14666900.0,-0.4999897728899767
2024-08-06,7738000.0,0.05514344932911541,7738000.0,14666900.0,-0.4724174842672958
2024-08-07,7927800.0,0.02452830188679256,7927800.0,14666900.0,-0.4594767810512106
2024-08-08,7977100.0,0.0062186230732359515,7977100.0,14666900.0,-0.45611547089023585
2024-08-09,8204400.0,0.0284940642589413,8204400.0,14666900.0,-0.44061799016833825
2024-08-13,8458600.0,0.030983374774511185,8458600.0,14666900.0,-0.42328644771560453
2024-08-14,8504400.0,0.005414607618281941,8504400.0,14666900.0,-0.4201637701218389
2024-08-15,8444400.0,-0.00705517144066603,8444400.0,14666900.0,-0.42425461413113885
2024-08-16,8578600.0,0.01589218890625732,8578600.0,14666900.0,-0.4151047596970048
2024-08-19,8451500.0,-0.014815937332431917,8451500.0,14666900.0,-0.4237705309233717
2024-08-20,8524600.0,0.00864935218600249,8524600.0,14666900.0,-0.4187865193053747
2024-08-21,8496400.0,-0.003308073106069509,8496400.0,14666900.0,-0.42070921598974564
2024-08-22,8513000.0,0.0019537686549597755,8513000.0,14666900.0,-0.41957741581383934
2024-08-23,8563700.0,0.005955597321743111,8563700.0,14666900.0,-0.41612065262598097
2024-08-26,8502900.0,-0.0070997349276598065,8502900.0,14666900.0,-0.42026604122207145
2024-08-27,8573100.0,0.008256006774159497,8573100.0,14666900.0,-0.4154797537311906
2024-08-28,8485900.0,-0.010171349920098938,8485900.0,14666900.0,-0.42142511369137314
2024-08-29,8565200.0,0.009344913326812643,8565200.0,14666900.0,-0.41601838152574844
2024-08-30,8601700.0,0.0042614299724466065,8601700.0,14666900.0,-0.4135297847534244
2024-09-02,8534100.0,-0.007858911610495567,8534100.0,14666900.0,-0.41813880233723555
2024-09-03,8564400.0,0.00355046226315614,8564400.0,14666900.0,-0.4160729261125391
2024-09-04,8252700.0,-0.03639484377189295,8252700.0,14666900.0,-0.43732486074085186
2024-09-05,8337600.0,0.010287542258897053,8337600.0,14666900.0,-0.4315363164676925
2024-09-06,8303900.0,-0.004041930531567872,8303900.0,14666900.0,-0.4338340071862493
2024-09-09,8249100.0,-0.006599308758535094,8249100.0,14666900.0,-0.4375703113814099
2024-09-10,8220200.0,-0.0035034124934841815,8220200.0,14666900.0,-0.4395407345792226
2024-09-11,7916400.0,-0.03695773825454374,7916400.0,14666900.0,-0.46025404141297754
2024-09-12,8256100.0,0.04291091910464351,8256100.0,14666900.0,-0.4370930462469915
2024-09-13,8263900.0,0.0009447559985948928,8263900.0,14666900.0,-0.4365612365257825
2024-09-17,8244300.0,-0.002371761516959281,8244300.0,14666900.0,-0.43789757890215386
2024-09-18,8085300.0,-0.01928605218150725,8085300.0,14666900.0,-0.44873831552679844
2024-09-19,8352400.0,0.03303526152400038,8352400.0,14666900.0,-0.43052724161206524
2024-09-20,8239800.0,-0.013481155117092136,8239800.0,14666900.0,-0.43820439220285134
2024-09-24,8421300.0,0.022027233670720126,8421300.0,14666900.0,-0.42582958907471924
2024-09-25,8270100.0,-0.01795447258736771,8270100.0,14666900.0,-0.4361385159781549
2024-09-26,8448800.0,0.02160796120965891,8448800.0,14666900.0,-0.42395461890379016
2024-09-27,8022100.0,-0.050504213616134885,8022100.0,14666900.0,-0.4530473378832609
2024-09-30,7952300.0,-0.008700963588087918,7952300.0,14666900.0,-0.45780635308074646
2024-10-02,8769050.0,0.10270613533191653,8769050.0,14666900.0,-0.4021197390041522
2024-10-03,8661850.0,-0.012224813406241264,8661850.0,14666900.0,-0.40942871363410127
2024-10-04,8588600.0,-0.008456623007787045,8588600.0,14666900.0,-0.41442295236212157
2024-10-07,8787250.0,0.02312949724052804,8787250.0,14666900.0,-0.4008788496546646
2024-10-08,8637950.0,-0.016990526046260168,8637950.0,14666900.0,-0.41105823316447243
2024-10-09,8596250.0,-0.004827534310802961,8596250.0,14666900.0,-0.41390136975093583
2024-10-10,8626700.0,0.0035422422567981116,8626700.0,14666900.0,-0.4118252664162161
2024-10-11,8730800.0,0.012067186757392712,8730800.0,14666900.0,-0.4047276520600809
2024-10-15,8579050.0,-0.017380996014110917,8579050.0,14666900.0,-0.4150740783669351
2024-10-16,9023000.0,0.051748153933127705,9023000.0,14666900.0,-0.3848052417347906
2024-10-17,8591600.0,-0.04781114928516017,8591600.0,14666900.0,-0.4142184101616565
2024-10-18,8670600.0,0.009195027701475844,8670600.0,14666900.0,-0.4088321322160784
2024-10-21,8659750.0,-0.001251355154199274,8659750.0,14666900.0,-0.40957189317442677
2024-10-22,8451300.0,-0.02407113369323599,8451300.0,14666900.0,-0.4237841670700694
2024-10-23,8399400.0,-0.0061410670547726864,8399400.0,14666900.0,-0.4273227471381137
2024-10-24,8359700.0,-0.004726528085339465,8359700.0,14666900.0,-0.4300295222576005
2024-10-25,8433250.0,0.008798162613490979,8433250.0,14666900.0,-0.4250148293095337
2024-10-28,8519900.0,0.010274805087006733,8519900.0,14666900.0,-0.41910696875276987
2024-10-29,8447000.0,-0.008556438455850413,8447000.0,14666900.0,-0.4240773442240692
