date,portfolio,total_value,cumulative_return,drawdown
2021-04-30,ベースライン（フィルタなし）,3536264.9839999997,-0.6463735016000002,-0.7158368897399573
2021-05-31,ベースライン（フィルタなし）,3475144.9839999997,-0.6524855016000002,-0.7207483003321149
2021-06-30,ベースライン（フィルタなし）,3323874.9839999997,-0.6676125016000002,-0.7329038808340077
2021-07-30,ベースライン（フィルタなし）,3349664.9839999997,-0.6650335016000002,-0.7308314777061977
2021-08-31,ベースライン（フィルタなし）,3433324.9839999997,-0.6566675016000003,-0.7241088237444846
2021-09-30,ベースライン（フィルタなし）,3415254.9839999997,-0.6584745016000002,-0.7255608720003793
2021-10-29,ベースライン（フィルタなし）,3191144.9839999997,-0.6808855016000003,-0.7435696453611197
2021-11-30,ベースライン（フィルタなし）,2935814.9839999997,-0.7064185016000002,-0.7640871595380767
2021-12-30,ベースライン（フィルタなし）,2808324.9839999997,-0.7191675016000002,-0.7743318541780339
2022-01-31,ベースライン（フィルタなし）,2649010.3009999995,-0.7350989699000001,-0.7871338800545463
2022-02-28,ベースライン（フィルタなし）,2591950.3009999995,-0.7408049699000001,-0.7917190418410076
2022-03-31,ベースライン（フィルタなし）,2472090.3009999995,-0.7527909699000002,-0.8013506137254319
2022-04-28,ベースライン（フィルタなし）,2277440.3009999995,-0.7722559699000001,-0.8169920743236566
2022-05-31,ベースライン（フィルタなし）,2321090.3009999995,-0.7678909699000002,-0.8134844978781774
2022-06-30,ベースライン（フィルタなし）,2345280.3009999995,-0.7654719699000002,-0.8115406657082774
2022-07-29,ベースライン（フィルタなし）,1894190.3009999995,-0.8105809699000002,-0.847788836585509
2022-08-31,ベースライン（フィルタなし）,1822560.3009999995,-0.8177439699000002,-0.8535447976574372
2022-09-30,ベースライン（フィルタなし）,1775880.3009999995,-0.8224119699000001,-0.8572958553544582
2022-10-31,ベースライン（フィルタなし）,1801610.3009999995,-0.8198389699000002,-0.8552282736375698
2022-11-30,ベースライン（フィルタなし）,1938990.3009999995,-0.8061009699000001,-0.8441888497640322
2022-12-30,ベースライン（フィルタなし）,1846350.3009999995,-0.8153649699000002,-0.8516331082270147
2023-01-31,ベースライン（フィルタなし）,1850511.6574999995,-0.8149488342500002,-0.8512987147323836
2023-02-28,ベースライン（フィルタなし）,1803721.6574999995,-0.8196278342500002,-0.8550586116827609
2023-03-31,ベースライン（フィルタなし）,1703971.6574999995,-0.8296028342500001,-0.8630742073399553
2023-04-28,ベースライン（フィルタなし）,1722251.6574999995,-0.8277748342500002,-0.8616052841458349
2023-05-31,ベースライン（フィルタなし）,1615791.6574999995,-0.8384208342500001,-0.870160074257764
2023-06-30,ベースライン（フィルタなし）,1688561.6574999995,-0.8311438342500002,-0.8643125063783249
2023-07-31,ベースライン（フィルタなし）,1731311.6574999995,-0.8268688342500001,-0.8608772510966702
2023-08-31,ベースライン（フィルタなし）,1757371.6574999995,-0.8242628342500001,-0.858783151619713
2023-09-29,ベースライン（フィルタなし）,1790771.6574999995,-0.8209228342500001,-0.856099232873344
2023-10-31,ベースライン（フィルタなし）,1779301.6574999995,-0.8220698342500001,-0.8570209259278605
2023-11-30,ベースライン（フィルタなし）,1868511.6574999995,-0.8131488342500002,-0.8498522914558975
2023-12-29,ベースライン（フィルタなし）,1899931.6574999995,-0.8100068342500001,-0.847327479269942
2024-01-31,ベースライン（フィルタなし）,1972770.5554999996,-0.8027229444500001,-0.8414743749643417
2024-02-29,ベースライン（フィルタなし）,1989400.5554999996,-0.8010599444500002,-0.8401380405705658
2024-03-29,ベースライン（フィルタなし）,2064980.5554999996,-0.7935019444500002,-0.8340646699462976
2024-04-30,ベースライン（フィルタなし）,2001560.5554999996,-0.7998439444500002,-0.8391609012904507
2024-05-31,ベースライン（フィルタなし）,1991320.5554999996,-0.8008679444500002,-0.839983755421074
2024-06-28,ベースライン（フィルタなし）,2031490.5554999996,-0.7968509444500002,-0.8367558208090489
2024-07-31,ベースライン（フィルタなし）,2022200.5554999996,-0.7977799444500002,-0.8375023359334132
2024-08-30,ベースライン（フィルタなし）,1921550.5554999996,-0.8078449444500002,-0.845590252754432
2024-09-30,ベースライン（フィルタなし）,1915170.5554999996,-0.8084829444500001,-0.8461029294490976
2024-10-31,ベースライン（フィルタなし）,1868780.5554999996,-0.8131219444500002,-0.8498306836599974
2024-11-29,ベースライン（フィルタなし）,1865850.5554999996,-0.8134149444500002,-0.8500661292266699
2024-12-30,ベースライン（フィルタなし）,1837590.5554999996,-0.8162409444500002,-0.8523370137707532
2025-01-31,ベースライン（フィルタなし）,1823347.8659999995,-0.8176652134000002,-0.8534815114158957
2025-02-28,ベースライン（フィルタなし）,1924707.8659999995,-0.8075292134000002,-0.8453365412323044
2025-03-31,ベースライン（フィルタなし）,1971007.8659999995,-0.8028992134000001,-0.841616019137787
2025-04-30,ベースライン（フィルタなし）,1976507.8659999995,-0.8023492134000002,-0.8411740564699718
2025-05-30,ベースライン（フィルタなし）,2039907.8659999995,-0.7960092134000002,-0.8360794322627926
2025-06-30,ベースライン（フィルタなし）,2211007.8659999995,-0.7788992134000002,-0.8223303754513042
2025-07-31,ベースライン（フィルタなし）,2306277.8659999995,-0.7693722134000002,-0.8146747784762574
2025-08-29,ベースライン（フィルタなし）,2446427.8659999995,-0.7553572134000002,-0.8034127661318382
2025-09-30,ベースライン（フィルタなし）,2509177.8659999995,-0.7490822134000003,-0.7983703738763099
2025-10-31,ベースライン（フィルタなし）,2436577.8659999995,-0.7563422134000002,-0.804204281091471
2025-11-28,ベースライン（フィルタなし）,2442877.8659999995,-0.7557122134000003,-0.8036980329447008
2025-12-30,ベースライン（フィルタなし）,2409577.8659999995,-0.7590422134000002,-0.8063739160062003
