window_id,window_start,window_end,MKT,SMB,HML,RMW,CMA,WML,n_stocks,n_inv_valid
19,2022-09,2023-08,0.15438664052143208,-0.06421222314114075,-0.03308660317432904,-0.053537331969372715,-0.01902871593011843,0.0130927012743485,40840,33281
20,2022-10,2023-09,0.204447042888108,-0.04712383787257984,0.009880078695990502,-0.018973169023459108,-0.044812218015997135,0.004978547563134705,40920,33370
21,2022-11,2023-10,0.12996576262091478,-0.05497381096666011,0.07290885365110286,-0.025918883429023168,-0.03217026650835969,0.021130708102960236,40998,33434
22,2022-12,2023-11,0.1473076928074038,-0.08851737131945821,0.018971402643188168,-0.029318165577883776,0.0024035966831625066,0.02800462429126266,41083,33511
23,2023-01,2023-12,0.17912843349278088,-0.09181179564416794,0.0061305012361105304,-0.023495084887488443,-0.005631879314046573,0.023348475105790023,41163,33585
24,2023-02,2024-01,0.19202733482642842,-0.09462866038509365,0.021462888934401902,-0.025448952755394938,-0.008774600262010074,0.03752340426966813,41331,33729
25,2023-03,2024-02,0.19469565024507146,-0.12032736266402913,-0.04166095618149096,-0.013653619786278798,-0.02488572622186519,0.04152926943835611,41455,33869
26,2023-04,2024-03,0.21305505052846457,-0.14635695504836665,-0.014887002484237633,-0.02532143135728873,-0.031647313704122215,0.038858607482123664,41543,33987
27,2023-05,2024-04,0.17172634010873408,-0.14759571849854025,-0.003571195535572169,-0.017316457947854663,-0.024746239710763535,0.03917524149292989,41642,34166
28,2023-06,2024-05,0.16855916563550374,-0.1524761578859094,0.017014853716437517,-0.03184674234264545,-0.008990575800394973,0.0360821445795356,41714,34243
29,2023-07,2024-06,0.14270971968429808,-0.14651945271889397,-0.005932739506920109,-0.06000961535581577,0.0059373343620714725,0.013164503528570265,41775,34347
30,2023-08,2024-07,0.12919008258280906,-0.13832929524653015,-0.04927817954085542,-0.07481350224352623,0.01160312656906079,-0.00669109444411134,41826,34441
31,2023-09,2024-08,0.08786827867835277,-0.14956062206516624,-0.10604441378044115,-0.11017531402211496,0.015094104064450775,-0.002011417352788439,41881,34496
32,2023-10,2024-09,0.0639376788758713,-0.17554483355757033,-0.16023516972292767,-0.101772181691086,0.01903219308219617,0.025402761034643256,41917,34520
33,2023-11,2024-10,0.1030082278512351,-0.16015173939904398,-0.1884775979886964,-0.10753442309113345,0.02339278413832606,0.047607309502974454,41969,34565
34,2023-12,2024-11,0.05974358883813692,-0.13368058324253318,-0.16508365336902867,-0.08241167486413939,-0.001953636213978212,0.034356930410115866,41989,34546
35,2024-01,2024-12,0.08233703746994836,-0.13461714650513124,-0.16450240676462333,-0.10803643861653232,0.004734781894614168,0.006394903337808233,42055,34561
36,2024-02,2025-01,0.04426408609891922,-0.12400460740866126,-0.19149348383987547,-0.09882945991525946,0.01629685340601124,-0.029936914893268385,42137,34682
37,2024-03,2025-02,0.014492570022914195,-0.08487436048243518,-0.14744229021168137,-0.11291408543514467,0.03354704218672506,-0.07111485048473641,42139,34766
38,2024-04,2025-03,-0.003244532541281564,-0.06499039771976103,-0.1633809437413229,-0.11113614879967924,0.048944562409674194,-0.09937489574760591,42147,34871
39,2024-05,2025-04,0.021962665188330094,-0.06209177492272357,-0.2136008966259104,-0.10111317186873633,0.02751145378587784,-0.07585922913073898,42185,34952
40,2024-06,2025-05,0.06580431682085804,-0.05619285452959794,-0.23296878498165136,-0.06909663460022478,-0.01078600381217909,-0.060995550937337904,42158,34920
41,2024-07,2025-06,0.06405371380388312,-0.05279359316885738,-0.24872153914663098,-0.0656042441913031,-0.03076260161064681,-0.04179554549967528,42161,34878
42,2024-08,2025-07,0.10718982356983034,-0.053080657579421986,-0.23459016215221973,-0.036512954028282085,-0.052314171042061125,0.01615757537119583,42244,34916
43,2024-09,2025-08,0.19380127501647337,-0.036120886839420524,-0.20767257017489582,0.0053486744199974234,-0.044343712499592736,0.11737207835979405,42228,34985
44,2024-10,2025-09,0.21926099639606716,-0.03517405985247368,-0.16390970557927992,0.020043793022928635,-0.060380167559134085,0.08600933467425642,42215,35069
45,2024-11,2025-10,0.21382058567617818,-0.04777861820587298,-0.14329522221395907,0.03024899249836882,-0.07194748010441016,0.03723067952602796,42210,35126
46,2024-12,2025-11,0.23481542198682695,-0.0851352274705186,-0.10134311734003981,0.0019781539561027905,-0.06762745129469755,0.04404423638438221,42245,35164
47,2025-01,2025-12,0.22340731003441827,-0.07467231588068562,-0.0781007030549889,-0.0031692239240357356,-0.05859955185118054,0.06704977084334116,42238,35176
48,2025-02,2026-01,0.24761363383085344,-0.08704465315919302,-0.07819509777815908,-0.040603909067430194,-0.0437208435491922,0.10057590338409658,42198,35154
49,2025-03,2026-02,0.3264453317217773,-0.1885020767663234,-0.09813914778908728,-0.060007304028154795,-0.08452298583346884,0.21025915827199645,42212,35172
50,2025-04,2026-03,0.26720441224312086,-0.15666337558495802,-0.09633978447217123,-0.05693392844495865,-0.01738430789438078,0.13741060349281004,42245,35188
