Code,Price_Now,Price_6M,Return_6M,Eq,BPS_Final,Sales,OP,SharesOut,MarketCap,PBR,OP_Margin
6754,2891.0,1716.0,68.47319347319348,127949000000.0,941.6975096171287,81070000000.0,8412000000.0,135870594.0,392801887254.0,3.069987942492712,10.37621808313803
6323,2860.0,1698.0,68.43345111896349,134091000000.0,760.1530612244898,94483000000.0,23532000000.0,176400000.0,504504000000.0,3.7624001610846367,24.906067758221056
5333,4055.0,2416.5,67.80467618456444,789975000000.0,2651.305425297012,487908000000.0,73048000000.0,297956996.0,1208215618780.0,1.52943525906516,14.971674987907557
9202,4940.0,2966.5,66.52620933760322,1450763000000.0,2669.89,1877384000000.0,180714000000.0,484293561.0,2684293817348.2803,1.8502634940016256,9.625841063948558
6278,14410.0,8680.0,66.01382488479261,79998000000.0,4594.06,40165000000.0,8728000000.0,19780000.0,250926452854.33798,3.1366590771561533,21.73036225569526
7735,18575.0,11215.0,65.62639322336156,443254000000.0,4647.243290641708,425352000000.0,77439000000.0,95379986.0,1771683239949.9998,3.996993236270851,18.205862438639056
6745,6400.0,3870.0,65.37467700258397,64536000000.0,2587.85,75812000000.0,7877000000.0,26400000.0,159603686457.87042,2.4730954267055667,10.390175697778716
7013,3734.0,2265.0,64.85651214128035,591338000000.0,546.139657779166,1129339000000.0,102536000000.0,1082759678.0,4043024637652.0,6.83707902697273,9.07929328571846
6703,2768.0,1686.0,64.1755634638197,152869000000.0,1752.7310599527834,282225000000.0,6061000000.0,87217602.0,241418322336.0,1.5792496996513354,2.147577287625122
6324,4205.0,2569.0,63.68236667964189,77570000000.0,805.3748414064626,42183000000.0,1191000000.0,96315400.0,405006257000.0,5.221171290447337,2.8234122750871204
6330,2731.0,1695.0,61.120943952802364,39598000000.0,1026.9588498330602,131902000000.0,-20995000000.0,38558507.0,105303282617.0,2.6593081119500983,-15.917120286273143
4461,9400.0,5840.0,60.95890410958904,54283000000.0,4569.72,60209000000.0,7059000000.0,10684321.0,111661152105.59946,2.057018810780529,11.724160839741566
5727,2829.0,1758.0,60.92150170648465,58908000000.0,826.5363806916455,61323000000.0,2928000000.0,71270910.0,201625404390.0,3.4227168532287635,4.774717479575363
6856,18830.0,11730.0,60.52855924978686,348640000000.0,8286.08,333081000000.0,53040000000.0,42233252.0,792279485595.1187,2.2724859040704413,15.924054509263513
6524,4750.0,2995.0,58.597662771285485,23441000000.0,904.88,17454000000.0,4624000000.0,26000000.0,123049188842.71948,5.249314826275307,26.492494557121578
6101,3580.0,2258.0,58.54738706820195,97974000000.0,2041.125,94137000000.0,25554000000.0,48000000.0,171840000000.0,1.7539347173739972,27.145543197679977
