Code,Price_Now,Price_6M,Return_6M,Eq,BPS_Final,Sales,OP,SharesOut,MarketCap,PBR,OP_Margin
5344,58860.0,40340.0,45.90976698066436,140835000000.0,11383.36566440349,52225000000.0,17124000000.0,12372000.0,728215920000.0001,5.170702737245714,32.78889420775491
6368,15140.0,11820.0,28.087986463620986,130737000000.0,2820.0570754340515,127729000000.0,26112000000.0,46359700.0,701885858000.0,5.36868566664372,20.443282261663363
4403,2894.0,2703.5,7.046421305714823,283510000000.0,1198.651496561061,173472000000.0,31826000000.0,236524128.0,684500826432.0001,2.414379832923001,18.34647666482199
1959,9571.0,7191.0,33.096926713947994,332469000000.0,4691.585168585642,319253000000.0,36444000000.0,70864961.0,678248541731.0,2.040035437081352,11.415397819284392
2327,3675.0,3533.0,4.0192470987828965,277425000000.0,1515.9670386116,275395000000.0,30990000000.0,183002000.0,672532350000.0,2.4241951878886185,11.25292761306487
6965,2069.0,1568.0,31.951530612244895,319981000000.0,1002.4746490906385,51910000000.0,2403000000.0,319191114.0,660406414866.0,2.063892590078786,4.629165863995376
7003,6309.0,4230.0,49.148936170212764,209069000000.0,2027.852587147132,253183000000.0,31116000000.0,103098717.0,650449805553.0,3.1111728929348685,12.289924678987136
6787,23640.0,9910.0,138.54692230070634,135197000000.0,5044.039320502087,172033000000.0,17503000000.0,26803320.0,633630484800.0,4.686720007100749,10.174210761888707
7729,14415.0,8435.0,70.89508002371072,180937000000.0,4279.951303215214,112971000000.0,20932000000.0,42275481.0,609401058615.0,3.3680289748089116,18.528648945304546
5393,8846.0,5812.0,52.20233998623538,226077000000.0,3333.883040056219,185016000000.0,25310000000.0,67811917.0,599864217782.0,2.6533624286504156,13.67989795477148
6481,4992.0,4055.0,23.107274969173865,265749000000.0,2332.92,240444000000.0,14436000000.0,119099803.0,568651736021.8096,2.139807623064657,6.003892798323102
4385,3449.0,2327.0,48.21658788139236,105157000000.0,638.4683763134808,49440000000.0,8894000000.0,164701971.0,568057097979.0,5.40199033805643,17.98948220064725
7564,6660.0,5550.0,19.999999999999996,148283000000.0,1811.7137262859437,124303000000.0,25220000000.0,81846816.0,545099794560.0,3.6760774637686047,20.289132201153635
8050,12620.0,6900.0,82.89855072463767,176053000000.0,4252.0502901863165,254116000000.0,28959000000.0,41404261.0,522521773820.0,2.967979948197418,11.395976640589337
6134,5321.0,2778.5,91.50620838581969,222447000000.0,2273.9570354634134,79542000000.0,9591000000.0,97823748.0,520520163108.0,2.3399738504362837,12.05778079505167
1893,1815.5,1074.0,69.04096834264433,185634000000.0,649.0383632040833,581011000000.0,44309000000.0,286013910.0,519258253605.0,2.7972152386146933,7.6261895213687865
6323,2860.0,1698.0,68.43345111896349,134091000000.0,760.1530612244898,94483000000.0,23532000000.0,176400000.0,504504000000.0,3.7624001610846367,24.906067758221056
9072,3912.0,3253.0,20.258223178604375,242322000000.0,1915.8951125343478,201375000000.0,17388000000.0,126479784.0,494788915008.0,2.041865431153589,8.63463687150838
141A,4020.0,2555.0,57.338551859099795,131723000000.0,1075.5909613875558,674117000000.0,16677000000.0,122465700.0,492312114000.0,3.737480272997123,2.473902898161595
5805,14230.0,8080.0,76.11386138613861,100619000000.0,3264.004077482946,202086000000.0,19563000000.0,30826861.0,438666232030.0,4.359675926316103,9.680532050711085
268A,1903.0,911.0,108.8913282107574,88396000000.0,391.01,94193000000.0,16709000000.0,230375000.0,430213007339.96576,4.866883199918161,17.739110124956206
6871,10770.0,4575.0,135.40983606557378,66052000000.0,1703.95,70173000000.0,16542000000.0,40025316.0,417488799553.97754,6.320607999061005,23.573169167628574
6324,4205.0,2569.0,63.68236667964189,77570000000.0,805.3748414064626,42183000000.0,1191000000.0,96315400.0,405006257000.0,5.221171290447337,2.8234122750871204
6754,2891.0,1716.0,68.47319347319348,127949000000.0,941.6975096171287,81070000000.0,8412000000.0,135870594.0,392801887254.0,3.069987942492712,10.37621808313803
4980,2341.0,1979.5,18.262187421065935,101953000000.0,608.64,87296000000.0,30451000000.0,176418500.0,392139808425.34174,3.8462802313354363,34.88246884164223
9336,3850.0,3495.0,10.157367668097272,109057000000.0,1091.7392527396842,62536000000.0,14621000000.0,99892900.0,384587665000.0,3.5264830776566383,23.38013304336702
6507,12660.0,7500.0,68.8,86650000000.0,2908.7799230873607,82377000000.0,9316000000.0,29789122.0,377130284520.0,4.352340271436814,11.30898187600908
1961,6710.0,5200.0,29.038461538461547,108161000000.0,2015.6293315783207,170597000000.0,14982000000.0,53661156.0,360066356760.0,3.328985094072725,8.78210050587056
4966,22130.0,10190.0,117.1736997055937,112658000000.0,6981.0,65963000000.0,15561000000.0,18099000.0,357129571694.5996,3.1700329465692594,23.59049770325789
6508,7520.0,5880.0,27.891156462585045,156701000000.0,3441.8947300908417,203855000000.0,7082000000.0,45527540.0,342367100800.0,2.184843113955878,3.4740379191091706
3226,135100.0,124600.0,8.426966292134841,152365000000.0,60525.0,13195000000.0,6341000000.0,2517360.0,340099322593.9695,2.232135481206113,48.0560818491853
8174,3010.0,2889.0,4.188300449982685,62863000000.0,557.1617581072961,141959000000.0,11010000000.0,112827198.0,339609865979.99994,5.402380827831951,7.755760466050058
7014,4765.0,3275.0,45.49618320610686,126045000000.0,1814.2353415808102,115303000000.0,19480000000.0,69475551.0,331051000515.0,2.6264508748066167,16.894616792277738
