date,portfolio_value,total_value,peak,drawdown,daily_return
2022-05-17,7171350.0,7548789.473684211,19144631.57894737,-0.6056968010820678,0.043366485869919424
2022-05-18,7431770.0,7822915.7894736845,19144631.57894737,-0.5913780969242443,0.036313943678665694
2022-05-19,7473050.0,7866368.421052632,19144631.57894737,-0.5891083937231271,0.00555453142387341
2022-05-20,7543000.0,7940000.0,19144631.57894737,-0.5852623244663888,0.00936030134951582
2022-05-23,7698250.0,8103421.052631579,19144631.57894737,-0.5767261950581172,0.02058199655309556
2022-05-24,7541370.0,7938284.210526316,19144631.57894737,-0.5853519469522855,-0.020378657487091223
2022-05-25,7391400.0,7780421.052631579,19144631.57894737,-0.5935977654859957,-0.019886307129871605
2022-05-26,7439020.0,7830547.368421053,19144631.57894737,-0.5909794693029241,0.006442622507238038
2022-05-27,7460170.0,7852810.52631579,19144631.57894737,-0.5898165763110725,0.002843116432003079
2022-05-30,7579670.0,7978600.0,19144631.57894737,-0.5832460934493111,0.016018401725429898
2022-05-31,7571250.0,7969736.842105264,19144631.57894737,-0.5837090513212444,-0.0011108663042057598
2022-06-01,7568180.0,7966505.263157895,19144631.57894737,-0.5838778495002035,-0.00040548126135053764
2022-06-02,7503480.0,7898400.0,19144631.57894737,-0.5874352573759856,-0.008548951002750993
2022-06-03,7501320.0,7896126.315789474,19144631.57894737,-0.587554020915579,-0.00028786642997646883
2022-06-06,7558800.0,7956631.578947369,19144631.57894737,-0.5843935911675116,0.007662651373358198
2022-06-07,7625930.0,8027294.736842106,19144631.57894737,-0.5807025743096869,0.008881039318410444
2022-06-08,7719530.0,8125821.052631579,19144631.57894737,-0.575556154260642,0.012273912821124666
2022-06-09,7786620.0,8196442.105263159,19144631.57894737,-0.5718673367276246,0.008690943619624525
2022-06-10,7787730.0,8197610.52631579,19144631.57894737,-0.5718063054642225,0.0001425522242000099
2022-06-13,7787830.0,8197715.7894736845,19144631.57894737,-0.5718008071522043,1.2840712248607389e-05
2022-06-14,7908100.0,8324315.7894736845,19144631.57894737,-0.5651879872879026,0.015443326318114181
2022-06-15,7705450.0,8111000.0,19144631.57894737,-0.576330316592806,-0.02562562435983362
2022-06-16,7755920.0,8164126.315789474,19144631.57894737,-0.5735553185172152,0.00654990947965417
2022-06-17,7697020.0,8102126.315789474,19144631.57894737,-0.5767938242959412,-0.0075941990118515434
2022-06-20,7523470.0,7919442.105263159,19144631.57894737,-0.5863361448035452,-0.022547687286768037
2022-06-21,7748200.0,8156000.0,19144631.57894737,-0.573979788205021,0.02987052516990163
2022-06-22,7661500.0,8064736.842105264,19144631.57894737,-0.5787468247248094,-0.011189695671252609
2022-06-23,7666620.0,8070126.315789474,19144631.57894737,-0.5784653111494771,0.0006682764471708236
2022-06-24,7927130.0,8344347.368421053,19144631.57894737,-0.5641416585108372,0.033979772050786394
2022-06-27,7872230.0,8286557.894736842,19144631.57894737,-0.5671602318088348,-0.00692558340786642
2022-06-28,7946030.0,8364242.105263159,19144631.57894737,-0.5631024775393954,0.009374726094131036
2022-06-29,7993200.0,8413894.736842105,19144631.57894737,-0.5605089237604056,0.005936297748686981
2022-06-30,7923320.0,8340336.842105264,19144631.57894737,-0.564351144198731,-0.008742431066406375
