date,total_value,peak,drawdown
2018-08-16,10585400.0,12700831.578947369,-0.16655850963757868
2018-08-17,10771842.105263159,12700831.578947369,-0.15187899010342462
2018-08-20,10706757.894736843,12700831.578947369,-0.15700339555056067
2018-08-21,10667147.368421054,12700831.578947369,-0.16012213041997247
2018-08-22,10615557.894736843,12700831.578947369,-0.1641840277346116
2018-08-23,10707905.263157895,12700831.578947369,-0.15691305749561366
2018-08-24,10287094.736842105,12700831.578947369,-0.1900455751343261
2018-08-27,11069147.368421054,12700831.578947369,-0.1284706596086953
2018-08-28,11054115.789473685,12700831.578947369,-0.12965417100745166
2018-08-29,11114821.05263158,12700831.578947369,-0.12487454199020538
2018-08-30,11238263.157894738,12700831.578947369,-0.11515532758319176
2018-08-31,11264326.315789474,12700831.578947369,-0.1131032447937516
2018-09-03,11121031.578947369,12700831.578947369,-0.1243855561881982
2018-09-04,11175863.157894738,12700831.578947369,-0.12006839170912136
2018-09-05,10908505.263157895,12700831.578947369,-0.1411188160907823
2018-09-06,10151568.421052633,12700831.578947369,-0.20071623988151618
2018-09-07,10706357.894736843,12700831.578947369,-0.1570348895513679
2018-09-10,10883621.05263158,12700831.578947369,-0.14307807445679066
2018-09-11,10950031.578947369,12700831.578947369,-0.1378492415332937
2018-09-12,10772231.578947369,12700831.578947369,-0.1518483248921123
2018-09-13,10722136.842105264,12700831.578947369,-0.15579253409847177
2018-09-14,10743284.210526315,12700831.578947369,-0.15412749600316272
2018-09-18,10739157.894736843,12700831.578947369,-0.15445238148517415
2018-09-19,10761473.684210528,12700831.578947369,-0.15269534775592805
2018-09-20,10965536.842105264,12700831.578947369,-0.13662843460726565
2018-09-21,11138905.263157895,12700831.578947369,-0.12297827162581153
2018-09-25,11362694.736842105,12700831.578947369,-0.10535820696365514
2018-09-26,11497957.894736843,12700831.578947369,-0.09470826195383804
2018-09-27,11540821.05263158,12700831.578947369,-0.09133343113049375
2018-09-28,11435263.157894738,12700831.578947369,-0.09964453218562559
2018-10-01,11476589.47368421,12700831.578947369,-0.09639070462854075
2018-10-01,8766947.368421054,12700831.578947369,-0.3097343812547707
2018-10-02,8681747.368421054,12700831.578947369,-0.316442603426713
2018-10-03,8704473.684210526,12700831.578947369,-0.3146532469071649
2018-10-04,8735905.263157895,12700831.578947369,-0.31217848147531163
2018-10-05,8685010.52631579,12700831.578947369,-0.31618567868328556
2018-10-09,8761757.894736843,12700831.578947369,-0.3101429744757699
2018-10-10,8822694.736842105,12700831.578947369,-0.3053451120896353
2018-10-11,8487600.0,12700831.578947369,-0.3317287968711539
2018-10-12,8619157.894736843,12700831.578947369,-0.32137058576355126
