date,estimated_capital,peak,drawdown
2017-03-15,13455592.411320057,13455592.411320057,0.0
2017-03-16,13476792.364763737,13476792.364763737,0.0
2017-03-17,13497992.318207417,13497992.318207417,0.0
2017-03-21,13582792.131982142,13582792.131982142,0.0
2017-03-22,13603992.085425824,13603992.085425824,0.0
2017-03-23,13625192.038869508,13625192.038869508,0.0
2017-03-24,13646391.992313188,13646391.992313188,0.0
2017-03-27,13709991.852644233,13709991.852644233,0.0
2017-03-28,13731191.806087913,13731191.806087913,0.0
2017-03-29,13752391.759531593,13752391.759531593,0.0
2017-03-30,13773591.712975275,13773591.712975275,0.0
2017-03-31,13794791.666418957,13794791.666418957,0.0
2017-04-03,13858391.52675,13858391.52675,0.0
2017-04-04,13879591.480193682,13879591.480193682,0.0
2017-04-05,13900791.433637362,13900791.433637362,0.0
2017-04-06,13921991.387081044,13921991.387081044,0.0
2017-04-07,13943191.340524726,13943191.340524726,0.0
2017-04-10,14006791.200855771,14006791.200855771,0.0
2017-04-11,14027991.154299451,14027991.154299451,0.0
2017-04-12,14049191.107743133,14049191.107743133,0.0
2017-04-13,14070391.061186813,14070391.061186813,0.0
2017-04-14,14091591.014630493,14091591.014630493,0.0
2017-04-17,14155190.874961538,14155190.874961538,0.0
2017-04-18,14176390.828405218,14176390.828405218,0.0
2017-04-19,14197590.781848902,14197590.781848902,0.0
2017-04-20,14218790.735292584,14218790.735292584,0.0
2017-04-21,14239990.688736264,14239990.688736264,0.0
2017-04-24,14303590.54906731,14303590.54906731,0.0
2017-04-25,14324790.50251099,14324790.50251099,0.0
2017-04-26,14345990.455954669,14345990.455954669,0.0
2017-04-27,14367190.40939835,14367190.40939835,0.0
2017-04-28,14388390.362842035,14388390.362842035,0.0
2017-05-01,14451990.223173076,14451990.223173076,0.0
2017-05-02,14473190.17661676,14473190.17661676,0.0
2017-05-08,14600389.897278847,14600389.897278847,0.0
2017-05-09,14621589.850722527,14621589.850722527,0.0
2017-05-10,14642789.804166209,14642789.804166209,0.0
2017-05-11,14663989.75760989,14663989.75760989,0.0
2017-05-12,14685189.71105357,14685189.71105357,0.0
2017-05-15,14748789.571384614,14748789.571384614,0.0
2017-05-16,14769989.524828298,14769989.524828298,0.0
2017-05-17,14791189.478271978,14791189.478271978,0.0
2017-05-18,14812389.43171566,14812389.43171566,0.0
2017-05-19,14833589.38515934,14833589.38515934,0.0
2017-05-22,14897189.245490385,14897189.245490385,0.0
2017-05-23,14918389.198934065,14918389.198934065,0.0
2017-05-24,14939589.152377745,14939589.152377745,0.0
2017-05-25,14960789.105821429,14960789.105821429,0.0
