date,Q1_ROE_value,Q1_ROE_return,Q1_ROA_value,Q1_ROA_return,Q2_ROE_value,Q2_ROE_return,Q2_ROA_value,Q2_ROA_return,Q3_ROE_value,Q3_ROE_return,Q3_ROA_value,Q3_ROA_return,Q4_ROE_value,Q4_ROE_return,Q4_ROA_value,Q4_ROA_return
2019-06-28,15761609.342500001,0.57616093425,15563606.6885,0.5563606688500009,13882529.3555,0.38825293554999973,15868048.217500001,0.5868048217500015,11724339.9095,0.17243399095000078,11502667.614,0.15026676139999973,9768401.9715,-0.023159802849999855,10508055.425,0.05080554250000002
2019-07-31,15891349.342500001,0.5891349342500001,15745206.6885,0.5745206688500009,14700789.3555,0.4700789355499997,16629438.217500001,0.6629438217500014,12100059.9095,0.21000599095000094,11880837.614,0.1880837613999995,10318181.9715,0.031818197150000005,10833705.425,0.08337054249999998
2019-08-30,14767499.342500001,0.4767499342499999,14579936.6885,0.4579936688500008,13462739.3555,0.34627393554999975,16279298.217500001,0.6279298217500013,11742669.9095,0.17426699095000098,11330347.614,0.1330347613999996,10247561.9715,0.024756197150000103,10421015.425,0.04210154249999998
2019-09-30,15692619.342500001,0.5692619342499998,15449896.6885,0.5449896688500007,14017519.3555,0.40175193554999966,17291638.2175,0.7291638217500012,12412869.9095,0.24128699095000106,12016747.614,0.2016747613999994,10529361.9715,0.052936197149999975,10444935.425,0.04449354249999993
2019-10-31,19340659.3425,0.9340659342499997,17010156.688500002,0.7010156688500011,15070989.3555,0.5070989355499997,18262678.2175,0.8262678217500012,13804869.9095,0.38048699095000127,13333177.614,0.33331776139999936,10816421.9715,0.08164219714999987,10643695.425,0.06436954249999993
2019-11-29,22022709.3425,1.20227093425,18602446.688500002,0.8602446688500014,15112169.3555,0.5112169355499996,19229728.2175,0.9229728217500013,14005049.9095,0.40050499095000114,13645637.614,0.36456376139999946,11425791.9715,0.1425791971499999,10913805.425,0.09138054250000005
2019-12-30,24863329.3425,1.48633293425,20194206.688500002,1.0194206688500014,15523679.3555,0.5523679355499995,19420528.2175,0.9420528217500013,14387079.9095,0.4387079909500011,13880947.614,0.38809476139999943,11435671.9715,0.14356719714999988,10939485.425,0.09394854250000018
2020-01-31,21535935.654,1.1535935654,18302765.943000004,0.8302765943000014,13727506.783,0.37275067829999964,17236600.512000002,0.7236600512000013,13068604.1185,0.3068604118500011,12636290.992,0.26362909919999944,10635553.6285,0.06355536284999985,10541426.754500002,0.05414267545000029
2020-02-28,18445785.654,0.8445785654000002,16271845.943000004,0.6271845943000014,11645496.783,0.16454967829999978,14371180.512000002,0.43711805120000125,11060654.1185,0.10606541185000107,11030210.992,0.10302109919999936,9044433.6285,-0.09555663715000018,8984426.754500002,-0.10155732454999977
2020-03-31,16050145.654,0.6050145654000001,14333335.943000004,0.4333335943000012,9840926.783,-0.0159073217000002,12920330.512000002,0.2920330512000011,9622314.1185,-0.03776858814999906,9971130.992,-0.002886900800000536,8411893.6285,-0.1588106371500001,8265226.754500002,-0.17347732454999976
2020-04-30,17955545.654,0.7955545654000002,15547945.943000004,0.5547945943000014,10955726.783,0.09557267829999994,14298360.512000002,0.42983605120000123,10796114.1185,0.07961141185000109,11042080.992,0.1042080991999994,9410673.6285,-0.05893263715000008,9395096.754500002,-0.0604903245499997
2020-05-29,20940555.654,1.0940555654000002,17926225.943000004,0.7926225943000016,12678246.783,0.2678246783,17038200.512000002,0.7038200512000015,12200304.1185,0.22003041185000116,12215050.992,0.2215050991999994,10033783.6285,0.0033783628499999274,10334206.754500002,0.03342067545000038
2020-06-30,21184155.654,1.1184155654000003,18219405.943000004,0.8219405943000018,12429306.783,0.24293067830000004,17253520.512000002,0.7253520512000016,12100104.1185,0.21001041185000124,12098030.992,0.2098030991999993,10403883.6285,0.040388362849999915,10590786.754500002,0.05907867545000056
2020-07-31,20415055.654,1.0415055654000005,17893065.943000004,0.7893065943000017,11749056.783,0.17490567830000003,16049680.512000002,0.6049680512000015,10868274.1185,0.08682741185000098,11835280.992,0.18352809919999924,9979523.6285,-0.0020476371500000035,9982646.754500002,-0.001735324549999473
2020-08-31,22551095.654,1.2551095654000006,19605605.943000004,0.960560594300002,13659836.783,0.3659836783000001,19241180.512000002,0.9241180512000016,12330854.1185,0.2330854118500012,13056630.992,0.3056630991999991,10665873.6285,0.06658736285,10757156.754500002,0.07571567545000057
