month,entry_date,exit_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2019-08,2019-08-01,2019-09-02,-0.008954542747938095,-0.06325077691439858,-0.05163363144981814,108,2.5105104522278148,1.0436622849438326,1.287554177187015
2019-09,2019-09-02,2019-10-01,0.026536600598057757,0.04965015517184602,0.0536927664861797,14,2.577130865395834,1.0954802793382972,1.3566865229610225
2019-10,2019-10-01,2019-11-01,0.07393533657966511,0.04261359967142099,0.04520382056739503,61,2.7676719033387185,1.1421626374099558,1.4180139371111558
2019-11,2019-11-01,2019-12-02,0.10639252645367554,0.04333103718691608,0.05655491552194076,110,3.062131509529778,1.1916537291250726,1.4982095955334116
2019-12,2019-12-02,2020-01-06,0.1466324565899007,0.03058127290048881,0.044358661040608,12,3.51113937517347,1.2280960170183317,1.5646681671494644
2020-01,2020-01-06,2020-02-03,0.032916959318566294,-0.022842849345351177,-0.01201464472604707,55,3.6267154071478713,1.200042804719956,1.5458692350070085
2020-02,2020-02-03,2020-03-02,-0.13011513239790393,-0.12212367779440118,-0.1340597583829392,104,3.154824851777308,1.0534891638968467,1.3386303788703497
2020-03,2020-03-02,2020-04-01,-0.16629168728722435,-0.15490198015315446,-0.20414215733769442,14,2.630203704079592,0.890301606339334,1.0653594854499813
2020-04,2020-04-01,2020-05-01,0.22477269742341294,0.1404517002864304,0.1573364483891137,34,3.221401685418614,1.0153459807174336,1.232979363148335
2020-05,2020-05-01,2020-06-01,0.19824720241747873,0.13866197051433624,0.1682854546954647,111,3.860035557415805,1.1561358551575243,1.440471855905877
2020-06,2020-06-01,2020-07-01,0.10396821035646205,0.042322470390387223,0.026502851022223675,14,4.261356546232634,1.2050663806546937,1.4786484669046562
2020-07,2020-07-01,2020-08-03,-0.017515481370482908,-0.024949390757542378,-0.06671505940950125,50,4.186716835034112,1.1750007086349623,1.380000346589344
2020-08,2020-08-03,2020-09-01,0.22184261800308117,0.08661084269785503,0.1287126812928979,97,5.115509058555654,1.2767685101804134,1.5576238913839868
2020-09,2020-09-01,2020-10-01,0.0,0.0,0.0,0,5.115509058555654,1.2767685101804134,1.5576238913839868
2020-10,2020-10-01,2020-11-02,0.0,0.0,0.0,0,5.115509058555654,1.2767685101804134,1.5576238913839868
2020-11,2020-11-02,2020-12-01,0.09260867275123753,0.06564446414237818,0.0629883167542686,92,5.589249562915426,1.360581294865069,1.6557359984384978
2020-12,2020-12-01,2021-01-04,0.05298358255405392,-0.008767676647034598,0.009427682535829532,5,5.885388028547365,1.3486521580196884,1.6713457517949206
2021-01,2021-01-04,2021-02-01,0.021403343444185405,0.02933081967537137,0.026033108302113053,43,6.011355009824662,1.3882092312713645,1.7148560767616743
2021-02,2021-02-01,2021-03-01,0.018683749546731007,0.035978682421822485,0.03226910519257341,100,6.123669661264712,1.4381551703383193,1.7701929478928204
2021-03,2021-03-01,2021-04-01,0.20751815271258842,0.0440775891454897,0.07466818613018653,9,7.394442277192487,1.5015455830639535,1.9023700444124252
2021-04,2021-04-01,2021-05-06,0.016085258631553412,-0.01155644855567255,-0.0011846343662031942,30,7.513383793657221,1.4841930487792776,1.9001164314805787
2021-05,2021-05-06,2021-06-01,0.009532380076242922,-0.004967489236035135,0.0049403644062376685,123,7.585004223637046,1.4768203357852683,1.9095036990663725
2021-06,2021-06-01,2021-07-01,-0.0032387158293851696,0.015612583672483749,-0.013429665084701975,11,7.560438550392,1.4998773168469413,1.8838597039099116
2021-07,2021-07-01,2021-08-02,-0.0008922353029133933,-0.004919594222026666,-0.013559959437215888,46,7.553692860211833,1.4924985290652322,1.8583146427394877
2021-08,2021-08-02,2021-09-01,0.005576988116055193,0.012263450256544921,0.0030494951310803976,98,7.595819715525566,1.51080171053439,1.8639815641945372
2021-09,2021-09-01,2021-10-01,0.10612558449917237,-0.017500436828004968,0.018739931132192026,11,8.401930522586055,1.4843620206395411,1.8989124503392185
2021-10,2021-10-01,2021-11-01,0.0348792504731694,0.008759826926370706,0.007546769733679899,46,8.6949835617415,1.4973647750364214,1.9132431053463466
2021-11,2021-11-01,2021-12-01,-0.0032694385811703566,-0.06461899888759168,-0.037918803396483326,105,8.666555847022101,1.4006065623040238,1.8406952161850412
2021-12,2021-12-01,2022-01-04,0.03857817135132861,-0.0061393156276766045,-0.003737354508729075,8,9.000895723514379,1.3920077965478443,1.833815885619636
2022-01,2022-01-04,2022-02-01,-0.073753192336907,-0.08084943496555844,-0.07737720440901219,47,8.337050930013579,1.279464752729299,1.6919203389895519
2022-02,2022-02-01,2022-03-01,0.026119126486139545,0.019312154008033572,0.011670109571919622,101,8.55480741777599,1.304173973081858,1.7116652347325192
2022-03,2022-03-01,2022-04-01,0.15759155937138897,0.03679454575497277,0.09033609607828898,14,9.902972858865235,1.352160462006863,1.8662903898311833
2022-04,2022-04-01,2022-05-02,-0.023816225303227474,-0.034921696055223855,-0.018517368633134645,40,9.667121426086753,1.3049407253347682,1.8317316027062027
2022-05,2022-05-02,2022-06-01,0.01823477105832488,0.017933192698530716,0.013486668082864181,106,9.843399172084473,1.328342478822357,1.8564355588487942
2022-06,2022-06-01,2022-07-01,0.0713356839478792,-0.027913561309149376,0.004038796057200003,12,10.545584784397105,1.2912637096002018,1.8639333234643185
2022-07,2022-07-01,2022-08-01,0.03762625519608,0.05115023240920073,0.021810868753194556,54,10.94237564868673,1.3573121484478188,1.9045873285471047
2022-08,2022-08-01,2022-09-01,0.0480726944737259,0.0026034293147795275,0.015887194214625068,112,11.468405130062786,1.3608458146843943,1.9348458773344464
