date,rebalance_date,value,n_stocks,valid_stocks,normalized_value,cumulative_value,daily_return,peak,drawdown,year_month
2019-07-23,2018-10-01,0.8391687534115047,20,19,0.8391687534115047,1.1682982308056604,0.0007125673827914625,1.3974187337491517,-0.16395980489597495,2019-07
2019-07-24,2018-10-01,0.8554191578949651,20,20,0.8554191578949651,1.1909221890151642,0.019364882709701936,1.3974187337491517,-0.14776998457718926,2019-07
2019-07-25,2018-10-01,0.8646869011576828,20,20,0.8646869011576828,1.2038248239302234,0.010834154434328669,1.3974187337491517,-0.13853679297652813,2019-07
2019-07-26,2018-10-01,0.8612439801368441,20,20,0.8612439801368441,1.1990315585457616,-0.003981696746219954,1.3974187337491517,-0.1419668782249217,2019-07
2019-07-29,2018-10-01,0.8629827203276077,20,20,0.8629827203276077,1.201452248163245,0.0020188706462567207,1.3974187337491517,-0.14023462034185402,2019-07
2019-07-30,2018-10-01,0.8701961031019554,20,20,0.8701961031019554,1.2114947840645574,0.008358664205477373,1.3974187337491517,-0.1330481302377969,2019-07
2019-07-31,2018-10-01,0.8644041227821408,20,20,0.8644041227821408,1.2034311373510787,-0.0066559483536736685,1.3974187337491517,-0.13881851710805493,2019-07
2019-08-01,2018-10-01,0.8564975060770352,20,19,0.8564975060770352,1.1924234749820013,-0.009146898420217653,1.3974187337491517,-0.14669565665343998,2019-08
2019-08-02,2018-10-01,0.8488537961052635,20,20,0.8488537961052635,1.1817818337143677,-0.00892438088556935,1.3974187337491517,-0.15431086962477533,2019-08
2019-08-05,2018-10-01,0.8374551222950444,20,20,0.8374551222950444,1.165912498265602,-0.013428312228229267,1.3974187337491517,-0.1656670473154735,2019-08
2019-08-06,2018-10-01,0.8347143488182842,20,20,0.8347143488182842,1.1620967689609532,-0.0032727407162416178,1.3974187337491517,-0.1683976027406262,2019-08
2019-08-07,2018-10-01,0.8342865162860909,20,20,0.8342865162860909,1.161501136689839,-0.0005125496318579836,1.3974187337491517,-0.1688238402431937,2019-08
2019-08-08,2018-10-01,0.8345865192230677,20,20,0.8345865192230677,1.1619188034571983,0.00035959221576797873,1.3974187337491517,-0.16852495576621315,2019-08
2019-08-09,2018-10-01,0.8363985651832966,20,20,0.8363985651832966,1.1644415500214236,0.002171190066568407,1.3974187337491517,-0.16671966540957328,2019-08
