Code,FCF,CashEq,EquityRatio,MarketCap,CapGroup,TheoreticalValue,ValuationGap,CashRatio,FCFYield
82760,18175000000.0,20488000000.0,0.6303163913138761,29507600000.0,Mid,202238000000.0,5.853759709363011,0.6943295964429503,0.6159430112920061
34450,30059000000.0,95888000000.0,0.7471469920378907,58226700000.0,Mid,396478000000.0,5.809212955568493,1.646804644604623,0.5162408310963871
90390,17631000000.0,26205000000.0,0.7545153025134791,29994720000.0,Mid,202515000000.0,5.751688297140297,0.8736537630622989,0.5878034534077998
82180,23281000000.0,16944000000.0,0.6593648502345724,37106700000.0,Mid,249754000000.0,5.730698229699757,0.45662912627638674,0.6274069103423371
40440,16329000000.0,24334000000.0,0.6066995468542673,27913750000.0,Mid,187624000000.0,5.721561954234025,0.8717567507052976,0.5849805203528727
27910,28204000000.0,8488000000.0,0.5245912906024759,43245600000.0,Mid,290528000000.0,5.718093863884418,0.19627430305048374,0.6521819560833935
25900,23519000000.0,27877000000.0,0.39858855612608407,39296880000.0,Mid,263067000000.0,5.694348253601813,0.7093947407529555,0.5984953512848857
64120,57029000000.0,72279000000.0,0.23011311378705104,96279150000.0,Mid,642569000000.0,5.674020283727058,0.7507232874407387,0.5923296996286319
72870,28962000000.0,50368000000.0,0.6675808172563947,51019950000.0,Mid,339988000000.0,5.663824641145277,0.987221665250554,0.5676602975894723
18350,26143476000.0,21568489000.0,0.7651382569128456,42640000000.0,Mid,283003249000.0,5.637036796435272,0.5058276031894934,0.6131209193245779
68100,17861000000.0,33072000000.0,0.5724193685643775,31983800000.0,Mid,211682000000.0,5.618413071617506,1.034023474383907,0.55843895972336
98690,12331000000.0,74751000000.0,0.3422763895137213,30191100000.0,Mid,198061000000.0,5.560244575388111,2.475928336496517,0.4084316238891594
64720,58621000000.0,142049000000.0,0.33138611953902297,112183266000.0,Mid,728259000000.0,5.491690124265057,1.2662227181012897,0.5225467406163767
54100,15418000000.0,26920000000.0,0.5473469194984296,28087200000.0,Mid,181100000000.0,5.447776923296021,0.9584437038935886,0.5489333219402432
72420,28557000000.0,50452000000.0,0.5030994844223323,52276400000.0,Mid,336022000000.0,5.427795334032183,0.9651008868246475,0.5462694447207536
49850,14554000000.0,22930000000.0,0.5441753357164852,26330400000.0,Mid,168470000000.0,5.398307659587397,0.8708565004709385,0.5527451159116459
90250,22748000000.0,56921000000.0,0.5292610231774242,44670560000.0,Mid,284401000000.0,5.36663162494493,1.274239678213123,0.5092391946731807
88500,12801000000.0,77400000000.0,0.5557912749947256,32488150000.0,Mid,205410000000.0,5.32261301428367,2.3824071238282265,0.3940205890455443
49580,18161000000.0,31267000000.0,0.8380778927768074,33684800000.0,Mid,212877000000.0,5.319675343181494,0.9282228186006745,0.539145252458082
21570,21066000000.0,10439000000.0,0.5118242258120954,35098750000.0,Mid,221099000000.0,5.2993411446276575,0.2974179992164963,0.6001923145411161
59110,18315000000.0,20186000000.0,0.6348811484714258,32423950000.0,Mid,203336000000.0,5.271166838093446,0.6225644932218314,0.5648602344871615
70710,16452000000.0,10833000000.0,0.4304144281510953,28287700000.0,Mid,175353000000.0,5.198913308611163,0.38295796406211885,0.5815955344549044
46860,15021000000.0,71046000000.0,0.849954309622167,35798850000.0,Mid,221256000000.0,5.180533732228828,1.984588890425251,0.4195944841803578
35490,36233000000.0,57998000000.0,0.34527154528865295,68098290000.0,Mid,420328000000.0,5.172372316544219,0.8516807103379541,0.5320691606206265
