month,entry_date,exit_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,filter_pass,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2019-12,2019-12-02,2020-01-06,0.0358560371972067,0.012353985315111182,0.034236754632905896,190,True,1.3282208162950278,1.031042877809784,1.2750182157879355
2020-01,2020-01-06,2020-02-03,0.05482162984963798,-0.016376882606209647,0.017150853730837873,183,True,1.4010360462445377,1.0141576096379246,1.296885866711068
2020-02,2020-02-03,2020-03-02,-0.1518624430471124,-0.11921321375624465,-0.1375810990056496,175,True,1.1882712894647751,0.8932566217376365,1.118458883884065
2020-03,,,0.0,0.0,0.0,0,False,1.1882712894647751,0.8932566217376365,1.118458883884065
2020-04,,,0.0,0.0,0.0,0,False,1.1882712894647751,0.8932566217376365,1.118458883884065
2020-05,,,0.0,0.0,0.0,0,False,1.1882712894647751,0.8932566217376365,1.118458883884065
2020-06,,,0.0,0.0,0.0,0,False,1.1882712894647751,0.8932566217376365,1.118458883884065
2020-07,,,0.0,0.0,0.0,0,False,1.1882712894647751,0.8932566217376365,1.118458883884065
2020-08,,,0.0,0.0,0.0,0,False,1.1882712894647751,0.8932566217376365,1.118458883884065
2020-09,,,0.0,0.0,0.0,0,False,1.1882712894647751,0.8932566217376365,1.118458883884065
2021-08,2021-08-02,2021-09-01,0.0016369354183236211,0.013111800127603839,0.005852279690157381,174,True,1.1902164128250772,0.9049688240245191,1.1250044180944958
2021-09,2021-09-01,2021-10-01,0.018966247101026866,-0.0006518464814215345,0.010918777806323245,163,True,1.2127903514144154,0.9043789232807824,1.1372880913668018
2021-10,2021-10-01,2021-11-01,-0.0021768284384250077,0.00990641815451293,0.012113766594463813,161,True,1.210150314887609,0.91333807906493,1.1510649338562824
2021-11,2021-11-01,2021-12-01,-0.0056633013129026005,-0.0649013274205612,-0.040296252356089746,164,True,1.2032968690204964,0.8540612253498706,1.104681330803364
2021-12,,,0.0,0.0,0.0,0,False,1.2032968690204964,0.8540612253498706,1.104681330803364
2022-01,,,0.0,0.0,0.0,0,False,1.2032968690204964,0.8540612253498706,1.104681330803364
