Code,LatestOP,OldestOP,NumPeriods,GrowthCount,IsGrowthA,IsGrowthB,CAGR,IsGrowthC,MarketCap,Price,Date,TheoreticalValue,ValuationGap,MarketCap_to_OP
28020,138803000000.0,130943000000.0,5,2,False,True,0.01468009646223023,True,1362466500000.0,4405.0,2026-03-13,1388030000000.0,0.018762663155387674,9.815828908597076
78320,105481000000.0,113670000000.0,5,3,False,False,-0.018518552806482957,False,1048517600000.0,4264.0,2026-03-13,1054810000000.0,0.0060012345047903825,9.940345654667665
22690,70063000000.0,66454000000.0,5,3,False,True,0.013309001290344513,True,699875240000.0,3931.0,2026-03-13,700630000000.0,0.0010784207768230235,9.989227409617058
95130,88265000000.0,32676000000.0,5,3,False,True,0.28200556247151853,True,892633680000.0,3933.0,2026-03-13,882650000000.0,-0.011184520843981598,10.113110292868068
82670,144737000000.0,237747000000.0,5,2,False,False,-0.11668393256558407,False,1472012520000.0,2019.0,2026-03-13,1447370000000.0,-0.016740700004372246,10.170257225173936
34020,71039000000.0,103816000000.0,5,3,False,True,-0.09048862102216482,False,725351760000.0,1134.0,2026-03-13,710390000000.0,-0.020626902456264806,10.21061332507496
46840,66265000000.0,58566000000.0,5,3,False,True,0.031358518022351456,True,686926240000.0,4004.0,2026-03-13,662650000000.0,-0.0353403882198473,10.366350863955331
45060,109774000000.0,-8179000000.0,5,3,False,True,,False,1168142650000.0,1835.0,2026-03-13,1097740000000.0,-0.06026888068850153,10.641341756700129
63670,307910000000.0,318740000000.0,5,3,False,True,-0.008604812583097421,False,3300135450000.0,19055.0,2026-03-13,3079100000000.0,-0.0669776902641981,10.717857328440129
79360,142519000000.0,100111000000.0,5,3,False,True,0.09231460805117075,True,1528397400000.0,4460.0,2026-03-13,1425190000000.0,-0.06752654774209901,10.724165900686925
68410,60423000000.0,58416000000.0,5,3,False,True,0.008480760171060364,True,672189030000.0,5589.0,2026-03-13,604230000000.0,-0.10110106973926665,11.12472121543121
86970,81308000000.0,69441000000.0,5,3,False,True,0.04022988852181841,True,931459715000.0,1854.5,2026-03-13,813080000000.0,-0.12709053659932035,11.45594178924583
67620,230737000000.0,209093000000.0,5,3,False,True,0.024930546902102613,True,2691767640000.0,2154.0,2026-03-13,2307370000000.0,-0.14280491164534542,11.665955785157994
69810,203012000000.0,234161000000.0,5,3,False,True,-0.035056719052639296,False,2388998000000.0,3650.0,2026-03-13,2030120000000.0,-0.15022113873682608,11.767767422615412
67020,211001000000.0,125269000000.0,5,3,False,True,0.13922688573117825,True,2505038250000.0,3575.0,2026-03-13,2110010000000.0,-0.15769350028886783,11.872162928137781
67520,157779000000.0,348308000000.0,5,2,False,False,-0.1796079609116633,False,1920701480000.0,2610.5,2026-03-13,1577790000000.0,-0.17853450084288996,12.173365783786181
45430,144867000000.0,133496000000.0,5,3,False,True,0.020646389029246093,True,1804069350000.0,2071.5,2026-03-13,1448670000000.0,-0.19699871848052847,12.453280250160493
47040,57777000000.0,48105000000.0,5,3,False,True,0.04686623420470437,True,726058330000.0,5381.0,2026-03-13,577770000000.0,-0.20423748874281217,12.566563338352632
65040,74027000000.0,18091000000.0,5,2,False,False,0.4222694906078803,True,949128700000.0,11390.0,2026-03-13,740270000000.0,-0.22005308658351602,12.821385440447404
73090,51677000000.0,65085000000.0,5,3,False,True,-0.05603890340141515,False,671224400000.0,16280.0,2026-03-13,516770000000.0,-0.2301084406347564,12.98884223155369
18120,108672000000.0,136226000000.0,5,2,False,False,-0.05492905005277038,False,1447427040000.0,6184.0,2026-03-13,1086720000000.0,-0.24920568017024194,13.31922703180212
67230,201166000000.0,222977000000.0,5,3,False,True,-0.02540623619551652,False,2694751740000.0,2461.5,2026-03-13,2011660000000.0,-0.2534896739690017,13.395661990594832
36260,54803000000.0,48884000000.0,5,3,False,True,0.028985842343050905,True,745094790000.0,3399.0,2026-03-13,548030000000.0,-0.26448284519611254,13.595875955695856
68610,416381000000.0,397033000000.0,5,3,False,True,0.011966357220768886,True,5705064800000.0,60880.0,2026-03-13,4163810000000.0,-0.2701555291712024,13.70154930220159
97660,101788000000.0,86700000000.0,5,3,False,True,0.040924836438871015,True,1414565300000.0,20830.0,2026-03-13,1017880000000.0,-0.2804291184012502,13.8971715722875
45680,233775000000.0,248311000000.0,5,3,False,True,-0.014967575044152803,False,3255931200000.0,2818.5,2026-03-13,2337750000000.0,-0.2820026418248641,13.92762784728906
95010,258406000000.0,64699000000.0,5,2,False,False,0.4136804636678868,True,3671109015000.0,640.5,2026-03-13,2584060000000.0,-0.2961091622608761,14.206748353366407
82270,48177000000.0,46559000000.0,5,3,False,True,0.008576923641283818,True,686188800000.0,3520.0,2026-03-13,481770000000.0,-0.29790460001678837,14.24307864748739
81130,57014000000.0,37542000000.0,5,3,False,False,0.11011002981027418,True,816611700000.0,917.5,2026-03-13,570140000000.0,-0.3018223961278047,14.3230031220402
41820,50851000000.0,49030000000.0,5,2,False,False,0.009158543213836579,True,728844820000.0,4118.0,2026-03-13,508510000000.0,-0.30230690258593046,14.332949597844683
72670,591505000000.0,1139920000000.0,5,3,False,True,-0.15126715021720327,False,8670602880000.0,1368.0,2026-03-13,5915050000000.0,-0.31780406946742784,14.658545371552227
62010,85982000000.0,180953000000.0,5,2,False,False,-0.1697470281387945,False,1285616800000.0,20560.0,2026-03-13,859820000000.0,-0.33120040123931177,14.95216208043544
68690,48657000000.0,67345000000.0,5,3,False,True,-0.07804442922781485,False,732963840000.0,1403.5,2026-03-13,486570000000.0,-0.33616097623588087,15.063892965041001
62730,137564000000.0,142793000000.0,5,3,False,True,-0.009283332749449702,False,2197178000000.0,66200.0,2026-03-13,1375640000000.0,-0.3739059830382427,15.972042104038847
30640,46192000000.0,37066000000.0,5,3,False,True,0.056568749550061304,True,739802250000.0,1894.5,2026-03-13,461920000000.0,-0.37561693006475716,16.015809014547973
67010,185161000000.0,126166000000.0,5,3,False,True,0.10065648262597238,True,2972365110000.0,4257.0,2026-03-13,1851610000000.0,-0.3770583587559336,16.052868098573672
53320,40419000000.0,41506000000.0,5,3,False,True,-0.006612546170901901,False,662493160000.0,5789.0,2026-03-13,404190000000.0,-0.38989558775218147,16.39063707662238
40210,44984000000.0,41080000000.0,5,3,False,True,0.022955893807529826,True,738732480000.0,6386.0,2026-03-13,449840000000.0,-0.39106508488702163,16.42211630802063
24130,62346000000.0,50101000000.0,5,3,False,True,0.05618634948594092,True,1075866220000.0,1664.5,2026-03-13,623460000000.0,-0.42050415896504306,17.256379238443525
41830,54644000000.0,66901000000.0,5,3,False,True,-0.04933508047075308,False,946454315000.0,1931.5,2026-03-13,546440000000.0,-0.4226451384502378,17.32037030598053
54010,107051000000.0,547960000000.0,5,2,False,False,-0.3351702151955974,False,1877424612000.0,593.2,2026-03-13,1070510000000.0,-0.429798675719076,17.537665337082327
40630,498026000000.0,584439000000.0,5,3,False,True,-0.039210591656742344,False,8869816410000.0,6531.0,2026-03-13,4980260000000.0,-0.43851599967896066,17.809946488737534
79110,44811000000.0,27720000000.0,5,3,False,True,0.12758126780003654,True,825616800000.0,5022.0,2026-03-13,448110000000.0,-0.457242149142314,18.42442257481422
77330,70252000000.0,108795000000.0,5,3,False,True,-0.10357813915997838,False,1330380285000.0,1310.5,2026-03-13,702520000000.0,-0.4719404609938278,18.937258512213177
72700,66284000000.0,369150000000.0,5,2,False,False,-0.3490442628566257,False,1256768070000.0,2624.5,2026-03-13,662840000000.0,-0.4725836724989361,18.960353478969285
66740,37971000000.0,31775000000.0,5,3,False,True,0.04554232631854682,True,726552630000.0,5193.0,2026-03-13,379710000000.0,-0.4773812875744459,19.13440862763688
69710,70621000000.0,12275000000.0,5,3,False,True,0.5487384855392041,True,1400951640000.0,2533.0,2026-03-13,706210000000.0,-0.49590693937158314,19.83760694411011
63610,113802000000.0,97953000000.0,5,3,False,True,0.03820481383138308,True,2319929700000.0,4835.0,2026-03-13,1138020000000.0,-0.5094592737012678,20.38566721147256
63830,100816000000.0,71546000000.0,5,3,False,True,0.08952205500207056,True,2063380830000.0,5727.0,2026-03-13,1008160000000.0,-0.5114038158433409,20.466799218378036
96970,54302000000.0,31020000000.0,5,3,False,True,0.15025335318837052,True,1113130000000.0,3545.0,2026-03-13,543020000000.0,-0.5121683900353059,20.498876652793637
18030,38920000000.0,1769000000.0,5,3,False,False,1.16576459449033,True,804034800000.0,3114.0,2026-03-13,389200000000.0,-0.5159413498022722,20.658653648509762
91010,100122000000.0,178149000000.0,5,3,False,True,-0.1341622201007494,False,2323454400000.0,5640.0,2026-03-13,1001220000000.0,-0.5690812782897741,23.2062323964763
91070,68721000000.0,92245000000.0,5,3,False,True,-0.07095519577231213,False,1636220760000.0,2643.5,2026-03-13,687210000000.0,-0.5800016618784375,23.809618020692366
91040,102744000000.0,89185000000.0,5,3,False,False,0.03601528581395996,True,2520403600000.0,6116.0,2026-03-13,1027440000000.0,-0.5923510028314513,24.53090788756521
77350,77439000000.0,24386000000.0,5,2,False,False,0.3349186225874481,True,2036934500000.0,18575.0,2026-03-13,774390000000.0,-0.6198257725027486,26.303729387001383
58020,271045000000.0,206839000000.0,5,3,False,True,0.06992230798028709,True,7360587700000.0,10390.0,2026-03-13,2710450000000.0,-0.6317617409816338,27.156330867568116
89050,52146000000.0,46411000000.0,5,3,False,True,0.029556105840048197,True,1505550090000.0,2755.5,2025-06-26,521460000000.0,-0.6536415470573949,28.871823150385456
69540,127704000000.0,110496000000.0,5,3,False,True,0.03684654773791651,True,3691399550000.0,6103.0,2026-03-13,1277040000000.0,-0.6540499117739774,28.90590388711395
80020,190603000000.0,85410000000.0,5,2,False,False,0.2222365097958965,True,5526368040000.0,5591.0,2026-03-13,1906030000000.0,-0.6551025942890333,28.994129368373006
80350,419293000000.0,513521000000.0,5,3,False,True,-0.04941742091383017,False,12386503800000.0,38340.0,2026-03-13,4192930000000.0,-0.6614920507270179,29.541403743921315
65320,35193000000.0,28747000000.0,5,3,False,True,0.05187937616866045,True,1128218650000.0,4307.0,2026-03-13,351930000000.0,-0.6880657840570177,32.05804137186372
16620,32080000000.0,44510000000.0,5,3,False,True,-0.07860852155341036,False,1049170240000.0,2572.0,2026-03-13,320800000000.0,-0.694234560065295,32.70480798004988
66450,33855000000.0,35904000000.0,5,3,False,True,-0.01458312376539106,False,1120219760000.0,4532.0,2026-03-13,338550000000.0,-0.6977825136739241,33.08875380298331
99830,210914000000.0,304217000000.0,5,2,False,False,-0.08750502352571132,False,7192900000000.0,65000.0,2026-03-13,2109140000000.0,-0.7067747361981954,34.10347345363513
77290,20932000000.0,19075000000.0,5,3,False,True,0.023496931260571285,True,782878650000.0,14415.0,2026-03-13,209320000000.0,-0.732627783373579,37.40104385629658
94120,26520000000.0,21285000000.0,5,3,False,True,0.056513294483157894,True,1047131350000.0,3095.0,2026-03-13,265200000000.0,-0.7467366438794903,39.48459087481146
81360,62398000000.0,41093000000.0,5,3,False,True,0.11007086787776488,True,2584157520000.0,5487.0,2026-03-13,623980000000.0,-0.7585363913884011,41.41410814449181
62690,68498000000.0,51066000000.0,5,3,False,True,0.07618395444738746,True,2881080000000.0,13590.0,2026-03-13,684980000000.0,-0.7622488788926375,42.0607900960612
45810,19017000000.0,23124000000.0,5,2,False,True,-0.04770882114298125,False,828828000000.0,8580.0,2024-04-08,190170000000.0,-0.7705555314250967,43.58353052531945
69760,16519000000.0,8402000000.0,5,3,False,True,0.18413241263728453,True,726192000000.0,3936.0,2026-03-13,165190000000.0,-0.7725257232247119,43.96101458926085
74530,28383000000.0,21957000000.0,5,3,False,False,0.0662801485938489,True,1318256160000.0,3757.0,2026-03-13,283830000000.0,-0.784692832385475,46.445272169960894
67870,17503000000.0,14648000000.0,5,3,False,True,0.04552287785262843,True,908012400000.0,23640.0,2026-03-13,175030000000.0,-0.8072383152476772,51.87752956636005
50320,16909000000.0,10965000000.0,5,3,False,True,0.11436463751555426,True,904825550000.0,3595.0,2026-03-13,169090000000.0,-0.8131241983606674,53.511476136968476
79740,300393000000.0,247597000000.0,5,3,False,True,0.04950885567119423,True,16221490600000.0,10220.0,2026-03-13,3003930000000.0,-0.8148178811631528,54.00089416198114
53440,17124000000.0,19734000000.0,5,3,False,True,-0.034843980079907966,False,978253200000.0,58860.0,2026-03-13,171240000000.0,-0.824953294300494,57.12761037140855
68570,346006000000.0,164126000000.0,5,3,False,True,0.20497090642633697,True,19915665000000.0,23650.0,2026-03-13,3460060000000.0,-0.8262644004104307,57.558727305306846
65060,33195000000.0,34313000000.0,5,3,False,True,-0.008247062082721413,False,1912613930000.0,4567.0,2026-03-13,331950000000.0,-0.8264417116317876,57.61753065220666
70130,102536000000.0,103463000000.0,5,3,False,True,-0.0022474966989765033,False,6226183620000.0,3734.0,2026-03-13,1025360000000.0,-0.8353148473317914,60.72192810330031
65900,12326000000.0,9296000000.0,5,3,False,True,0.07307854589429752,True,782736750000.0,4575.0,2026-03-13,123260000000.0,-0.8425268776507555,63.50290037319487
65250,32519000000.0,39714000000.0,5,3,False,True,-0.04874185660891628,False,2161326200000.0,5332.0,2026-03-13,325190000000.0,-0.8495414528357635,66.46348903717826
40040,46676000000.0,89036000000.0,5,2,False,False,-0.14909319359772555,False,3120543000000.0,11100.0,2026-03-13,466760000000.0,-0.8504234679669532,66.85540748993058
47550,14382000000.0,52975000000.0,5,3,False,True,-0.2781664233170832,False,969934430000.0,765.5,2026-03-13,143820000000.0,-0.8517219354714525,67.44085871227924
56310,17525000000.0,17035000000.0,5,3,False,True,0.007114786129150064,True,1299176000000.0,10040.0,2026-03-13,175250000000.0,-0.8651068061602123,74.13272467902996
70030,31116000000.0,13756000000.0,5,3,False,True,0.22637389925805818,True,2641515210000.0,6309.0,2026-03-13,311160000000.0,-0.8822039718635578,84.89250578480525
